#This file provides an overview of the best-fitting parameter values encountered in previous research
#if s=1 in the original paper, all parameters are devided by 10
#drift criterion added to/substracted from drift rate values
#Criteria for incorporating results in review: ##
# 1. Whenever there is a choice, use the fit to average data, instead of individual Ss.
# 2. Negative drift rates multiplied by -1.
#Klauer, K., Voss, A., Schmitz, F., & Teige-Mocigemba, S. (2007). Process components of the implicit association test: A diffusion-model analysis.
#Journal of Personality and Social Psychology, 93, 353–368.
#Table 2.
#a	z	Ter	eta	sz	st	v
0.074	0.037	0.436	0.143	0.020	0.165	NA
0.132	0.066	0.436	0.143	0.020	0.165	NA

#Table 3.

#a	z	Ter	eta	sz	st	v
0.072	0.036	0.436	0.254	0.058	0.208	NA
0.173	0.087	0.436	0.254	0.058	0.208	NA
0.073	0.037	0.432	0.206	0.013	0.149 	NA
0.124	0.062	0.432	0.206	0.013	0.149 	NA
0.065	0.033	0.436	0.216	0.004	0.150	NA
0.155	0.078	0.436	0.216	0.004	0.150	NA
0.063	0.032	0.435	0.268	0.023	0.145	NA
0.130	0.065	0.435	0.268	0.023	0.145	NA
0.084	0.042	0.477	0.182	0.067	0.250	NA
0.162	0.081	0.477	0.182	0.067	0.250	NA
0.067	0.034	0.471	0.208	0.011	0.207	NA
0.155	0.078	0.471	0.208	0.011	0.207	NA
0.068	0.034	0.461	0.237	0.007	0.159	NA
0.129	0.065	0.461	0.237	0.007	0.159	NA
0.067	0.034	0.469	0.290	0.011	0.156	NA
0.122	0.061	0.469	0.290	0.011	0.156	NA
##############################################################################################################


#Ratcliff, R., Thapar, A., & McKoon, G. (2007). Application of the diffusion model to two-choice tasks for adults 75-90 years old.
#Psychology and Aging, 22, 56-66.
#Table 2. & 3.

#a	z	Ter	eta	sz	st	v
0.118	0.059	0.395	0.170	0.056	0.183	0.449
0.118	0.059	0.395	0.170	0.056	0.183	0.250
0.118	0.059	0.395	0.170	0.056	0.183	0.140
0.118	0.059	0.395	0.170	0.056	0.183	0.041
0.183	0.092	0.395	0.170	0.056	0.183	0.449
0.183	0.092	0.395	0.170	0.056	0.183	0.250
0.183	0.092	0.395	0.170	0.056	0.183	0.140
0.183	0.092	0.395	0.170	0.056	0.183	0.041
0.103	0.052	0.408	0.216	0.011	0.151	0.310
0.103	0.052	0.408	0.216	0.011	0.151	0.219
0.103	0.052	0.408	0.216	0.011	0.151	0.116
0.103	0.052	0.408	0.216	0.011	0.151	0.043
0.156	0.078	0.408	0.216	0.011	0.151	0.310
0.156	0.078	0.408	0.216	0.011	0.151	0.219
0.156	0.078	0.408	0.216	0.011	0.151	0.116
0.156	0.078	0.408	0.216	0.011	0.151	0.043
0.089	0.045	0.432	0.186	0.063	0.220	0.145
0.089	0.045	0.432	0.186	0.063	0.220	0.101
0.089	0.045	0.432	0.186	0.063	0.220	0.000
0.089	0.045	0.432	0.186	0.063	0.220	0.237
0.089	0.045	0.432	0.186	0.063	0.220	0.130
0.089	0.045	0.432	0.186	0.063	0.220	0.059
0.089	0.045	0.432	0.186	0.063	0.220	0.301
0.089	0.045	0.432	0.186	0.063	0.220	0.158
0.089	0.045	0.432	0.186	0.063	0.220	0.109
0.193	0.097	0.432	0.186	0.063	0.220	0.145
0.193	0.097	0.432	0.186	0.063	0.220	0.101
0.193	0.097	0.432	0.186	0.063	0.220	0.000
0.193	0.097	0.432	0.186	0.063	0.220	0.237
0.193	0.097	0.432	0.186	0.063	0.220	0.130
0.193	0.097	0.432	0.186	0.063	0.220	0.059
0.193	0.097	0.432	0.186	0.063	0.220	0.301
0.193	0.097	0.432	0.186	0.063	0.220	0.158
0.193	0.097	0.432	0.186	0.063	0.220	0.109
0.100	0.045	0.616	0.184	0.028	0.257	0.334
0.100	0.045	0.616	0.184	0.028	0.257	0.285
0.100	0.045	0.616	0.184	0.028	0.257	0.185
0.100	0.045	0.616	0.184	0.028	0.257	0.113
0.100	0.045	0.616	0.184	0.028	0.257	0.082
0.100	0.045	0.616	0.184	0.028	0.257	0.027
0.100	0.045	0.616	0.184	0.028	0.257	0.243
0.100	0.045	0.616	0.184	0.028	0.257	0.229
0.100	0.045	0.616	0.184	0.028	0.257	0.168
0.184	0.081	0.616	0.184	0.028	0.257	0.334
0.184	0.081	0.616	0.184	0.028	0.257	0.285
0.184	0.081	0.616	0.184	0.028	0.257	0.185
0.184	0.081	0.616	0.184	0.028	0.257	0.113
0.184	0.081	0.616	0.184	0.028	0.257	0.082
0.184	0.081	0.616	0.184	0.028	0.257	0.027
0.184	0.081	0.616	0.184	0.028	0.257	0.243
0.184	0.081	0.616	0.184	0.028	0.257	0.229
0.184	0.081	0.616	0.184	0.028	0.257	0.168
0.199	0.091	0.543	0.100	0.041	0.129	0.435
0.199	0.091	0.543	0.100	0.041	0.129	0.303
0.199	0.091	0.543	0.100	0.041	0.129	0.207
0.199	0.091	0.543	0.100	0.041	0.129	0.276
0.102	0.051	0.368	0.192	0.050	0.122	0.506
0.102	0.051	0.368	0.192	0.050	0.122	0.256
0.102	0.051	0.368	0.192	0.050	0.122	0.177
0.102	0.051	0.368	0.192	0.050	0.122	0.074
0.190	0.095	0.368	0.192	0.050	0.122	0.506
0.190	0.095	0.368	0.192	0.050	0.122	0.256
0.190	0.095	0.368	0.192	0.050	0.122	0.177
0.190	0.095	0.368	0.192	0.050	0.122	0.074
0.084	0.042	0.312	0.161	0.029	0.169	0.530
0.084	0.042	0.312	0.161	0.029	0.169	0.251
0.084	0.042	0.312	0.161	0.029	0.169	0.210
0.084	0.042	0.312	0.161	0.029	0.169	0.054
0.155	0.078	0.312	0.161	0.029	0.169	0.530
0.155	0.078	0.312	0.161	0.029	0.169	0.251
0.155	0.078	0.312	0.161	0.029	0.169	0.210
0.155	0.078	0.312	0.161	0.029	0.169	0.054
#########################################################################################################


#Ratcliff, R., Van Zandt, T., & McKoon, G. (1999). Connectionist and diffusion models of reaction time.
#Psychological Review, 106, 261-300.
#Table 1.

#a	z	Ter	eta	sz	st	v
0.115	0.058	0.256	0.112	NA	NA	NA
0.151	0.076	0.323	0.088	NA	NA	NA
0.141	0.071	0.335	0.174	NA	NA	NA
0.150	0.075	0.313	0.142	NA	NA	NA
0.065	0.033	0.266	0.055	NA	NA	NA
0.117	0.040	0.206	0.082	NA	NA	NA
0.103	0.039	0.306	0.081	NA	NA	NA
############################################################################################################


#Simen, P., Buck, C., Hu, P., Holmes, P., & Cohen, J. (2008). Effects of stimulus probability and response-stimulus interval on two-alternative decision #making. Manuscript submitted for publication.
#Table 3.

#a	z	Ter	eta	sz	st	v
0.13848	0.07032	0.37041	0.16959	0.09369	0.15343	0.23737
0.14345	0.07143	0.38156	0.17209	0.09283	0.15696	0.25644
0.15423	0.07692	0.37693	0.10470	0.06915	0.00010	0.20738

#Table 4.

#a	z	Ter	eta	sz	st	v
0.12269	0.05014	0.37201	0.15522	0.10027	0.25748	0.25571
0.15942	0.06668	0.40537	0.23014	0.14354	0.27729	0.35918
#################################################################################################################


#Smith, P., Ratcliff, R., & Wolfgang, B. (2004). Attention orienting and the time course of perceptual decisions: Response time distributions with masked #and unmasked displays. Vision Research, 44, 1297-1320.
#Table 2.

#a	z	Ter	eta	sz	st	v
0.0997	0.0499	0.3262	0.1728	0.0000	0.0983	0.0412
0.0997	0.0499	0.3262	0.1728	0.0000	0.0983	0.1410
0.0997	0.0499	0.3262	0.1728	0.0000	0.0983	0.2879
0.0997	0.0499	0.3262	0.1728	0.0000	0.0983	0.4223
0.0997	0.0499	0.3262	0.1728	0.0000	0.0983	0.5225
0.1041	0.0521	0.3351	0.2228	0.0000	0.1406	0.0439
0.1041	0.0521	0.3351	0.2228	0.0000	0.1406	0.1781
0.1041	0.0521	0.3351	0.2228	0.0000	0.1406	0.3725
0.1041	0.0521	0.3351	0.2228	0.0000	0.1406	0.4875
0.1041	0.0521	0.3351	0.2228	0.0000	0.1406	0.5864
0.1189	0.0595	0.2996	0.2196	0.0000	0.1284	0.1026
0.1189	0.0595	0.2996	0.2196	0.0000	0.1284	0.2668
0.1189	0.0595	0.2996	0.2196	0.0000	0.1284	0.3631
0.1189	0.0595	0.2996	0.2196	0.0000	0.1284	0.4319
0.1189	0.0595	0.2996	0.2196	0.0000	0.1284	0.4759
0.1263	0.0632	0.3095	0.3294	0.0000	0.1850	0.0919
0.1263	0.0632	0.3095	0.3294	0.0000	0.1850	0.2376
0.1263	0.0632	0.3095	0.3294	0.0000	0.1850	0.3488
0.1263	0.0632	0.3095	0.3294	0.0000	0.1850	0.3863
0.1263	0.0632	0.3095	0.3294	0.0000	0.1850	0.4414
####################################################################################################################


#Thapar, A., Ratcliff, R., & McKoon, G. (2003). A diffusion model analysis of the effects of aging on letter discrimination.
#Psychology and Aging, 18, 415-429.
#Table 2.

#a	z	Ter	eta	sz	st	v
0.103	0.052	0.407	0.231	0.010	0.143	0.039
0.103	0.052	0.407	0.231	0.010	0.143	0.094
0.103	0.052	0.407	0.231	0.010	0.143	0.183
0.103	0.052	0.407	0.231	0.010	0.143	0.266
0.162	0.081	0.407	0.231	0.010	0.143	0.039
0.162	0.081	0.407	0.231	0.010	0.143	0.094
0.162	0.081	0.407	0.231	0.010	0.143	0.183
0.162	0.081	0.407	0.231	0.010	0.143	0.266
0.079	0.040	0.353	0.246	0.055	0.126	0.141
0.079	0.040	0.353	0.246	0.055	0.126	0.313
0.079	0.040	0.353	0.246	0.055	0.126	0.423
0.079	0.040	0.353	0.246	0.055	0.126	0.487
0.121	0.061	0.353	0.246	0.055	0.126	0.141
0.121	0.061	0.353	0.246	0.055	0.126	0.313
0.121	0.061	0.353	0.246	0.055	0.126	0.423
0.121	0.061	0.353	0.246	0.055	0.126	0.487
#############################################################################################################


#Voss, A., Rothermund, K., & Voss, J. (2004). Interpreting the parameters of the diffusion model: An empirical validation.
#Memory & Cognition, 32, 1206-1220.
#Table 2.

#a	z	Ter	eta	sz	st	v	#b (given)
0.118	0.058	0.470	0.080	0.018	NA	0.089
0.118	0.058	0.470	0.080	0.018	NA	0.103
0.119	0.056	0.470	0.090	0.018	NA	0.046
0.119	0.056	0.470	0.090	0.018	NA	0.057
0.137	0.071	0.520	0.085	0.018	NA	0.091
0.137	0.071	0.520	0.085	0.018	NA	0.118
0.116	0.065	0.730	0.089	0.016	NA	0.102
0.116	0.065	0.730	0.089	0.016	NA	0.141

#Table 4.

#a	z	Ter	eta	sz	st	v	#b
0.113	0.061	0.440	0.102	0.026	NA	0.070
0.113	0.061	0.440	0.102	0.026	NA	0.046
0.113	0.061	0.440	0.102	0.026	NA	0.047
0.113	0.061	0.440	0.102	0.026	NA	0.070
0.119	0.052	0.490	0.111	0.024	NA	0.069
0.119	0.052	0.490	0.111	0.024	NA	0.003
0.119	0.052	0.490	0.111	0.024	NA	0.069
0.119	0.052	0.490	0.111	0.024	NA	0.102
########################################################################################################

#Wagenmakers, E.-J., Ratcliff, R., Gomez, P., & McKoon, G. (2008). A diffusion model account of criterion shifts in the lexical decision task.
#Journal of Memory and Language, 58, 140-159.
#Table 2.

#a	z	Ter	eta	sz	st	v
0.159	0.079	0.408	0.116	0.048	0.144	0.452
0.159	0.079	0.408	0.116	0.048	0.144	0.275
0.159	0.079	0.408	0.116	0.048	0.144	0.180
0.159	0.079	0.408	0.116	0.048	0.144	0.264
0.084	0.040	0.408	0.116	0.048	0.144	0.452
0.084	0.040	0.408	0.116	0.048	0.144	0.275
0.084	0.040	0.408	0.116	0.048	0.144	0.180
0.084	0.040	0.408	0.116	0.048	0.144	0.264

#Table 6.
#a	z	Ter	eta	sz	st	v
0.130	0.085	0.422	0.101	0.041	0.151	0.476
0.130	0.085	0.422	0.101	0.041	0.151	0.260
0.130	0.085	0.422	0.101	0.041	0.151	0.169
0.130	0.085	0.422	0.101	0.041	0.151	0.252
0.118	0.039	0.422	0.101	0.041	0.151	0.476
0.118	0.039	0.422	0.101	0.041	0.151	0.260
0.118	0.039	0.422	0.101	0.041	0.151	0.169
0.118	0.039	0.422	0.101	0.041	0.151	0.252
##########################################################################################################
